Female,1920,5
Male,1920,670
Missing,1920,38
Female,1930,5
Male,1930,850
Missing,1930,36
Female,1940,12
Male,1940,1237
Missing,1940,49
Female,1950,37
Male,1950,1369
Missing,1950,114
Female,1960,79
Male,1960,1536
Missing,1960,417
Female,1970,296
Male,1970,1871
Missing,1970,873
Female,1980,516
Male,1980,1957
Missing,1980,1513
Female,1990,806
Male,1990,1869
Missing,1990,1002
Female,2000,1090
Male,2000,2085
Missing,2000,1064
Female,2010,1333
Male,2010,1984
Missing,2010,463
Female,2020,212
Male,2020,264
Missing,2020,63
