year,political_party_clean,n_appointments
1900,Democratic,14
1900,Republican,37
1901,Democratic,14
1901,Republican,49
1902,Democratic,14
1902,Republican,38
1903,Democratic,23
1903,Republican,45
1904,Democratic,16
1904,Republican,37
1905,Democratic,17
1905,Republican,62
1906,Democratic,16
1906,Republican,47
1907,Democratic,19
1907,Republican,46
1908,Democratic,29
1908,Republican,26
1909,Democratic,18
1909,Republican,44
1910,Democratic,36
1910,Republican,36
1911,Democratic,44
1911,Republican,39
1912,Democratic,43
1912,Republican,38
1913,Democratic,63
1913,Republican,29
1914,Democratic,55
1914,Republican,35
1915,Democratic,42
1915,Republican,25
1916,Democratic,54
1916,Republican,20
1917,Democratic,84
1917,Republican,50
1918,Democratic,59
1918,Republican,49
1919,Democratic,73
1919,Republican,31
1920,Democratic,44
1920,Republican,28
1921,Democratic,38
1921,Republican,50
1922,Democratic,42
1922,Republican,51
1923,Democratic,39
1923,Republican,55
1924,Democratic,31
1924,Republican,49
1925,Democratic,40
1925,Republican,60
1926,Democratic,36
1926,Republican,37
1927,Democratic,38
1927,Republican,45
1928,Democratic,41
1928,Republican,66
1929,Democratic,43
1929,Republican,62
1930,Democratic,56
1930,Republican,33
1931,Democratic,52
1931,Republican,43
1932,Democratic,54
1932,Republican,43
1933,Democratic,118
1933,Republican,28
1934,Democratic,98
1934,Republican,34
1935,Democratic,114
1935,Republican,24
1936,Democratic,81
1936,Republican,14
1937,Democratic,121
1937,Republican,27
1938,Democratic,75
1938,Republican,34
1939,Democratic,117
1939,Republican,34
1940,Democratic,112
1940,Republican,43
1941,Democratic,106
1941,Republican,63
1942,Democratic,193
1942,Republican,131
1943,Democratic,131
1943,Republican,105
1944,Democratic,72
1944,Republican,57
1945,Democratic,124
1945,Republican,69
1946,Democratic,158
1946,Republican,89
1947,Democratic,89
1947,Republican,69
1948,Democratic,103
1948,Republican,80
1949,Democratic,136
1949,Republican,73
1950,Democratic,116
1950,Republican,92
1951,Democratic,144
1951,Republican,111
1952,Democratic,112
1952,Republican,88
1953,Democratic,98
1953,Republican,139
1954,Democratic,90
1954,Republican,143
1955,Democratic,87
1955,Republican,120
1956,Democratic,83
1956,Republican,123
1957,Democratic,85
1957,Republican,116
1958,Democratic,83
1958,Republican,108
1959,Democratic,103
1959,Republican,130
1960,Democratic,85
1960,Republican,109
1961,Democratic,177
1961,Republican,123
1962,Democratic,142
1962,Republican,98
1963,Democratic,90
1963,Republican,103
1964,Democratic,96
1964,Republican,93
1965,Democratic,124
1965,Republican,108
1966,Democratic,173
1966,Republican,126
1967,Democratic,130
1967,Republican,123
1968,Democratic,143
1968,Republican,130
1969,Democratic,111
1969,Republican,202
1970,Democratic,106
1970,Republican,192
1971,Democratic,121
1971,Republican,206
1972,Democratic,125
1972,Republican,168
1973,Democratic,138
1973,Republican,161
1974,Democratic,148
1974,Republican,160
1975,Democratic,152
1975,Republican,167
1976,Democratic,144
1976,Republican,162
1977,Democratic,202
1977,Republican,138
1978,Democratic,192
1978,Republican,140
1979,Democratic,299
1979,Republican,123
1980,Democratic,233
1980,Republican,158
1981,Democratic,172
1981,Republican,216
1982,Democratic,144
1982,Republican,181
1983,Democratic,119
1983,Republican,188
1984,Democratic,119
1984,Republican,163
1985,Democratic,119
1985,Republican,200
1986,Democratic,134
1986,Republican,182
1987,Democratic,133
1987,Republican,192
1988,Democratic,137
1988,Republican,152
1989,Democratic,151
1989,Republican,133
1990,Democratic,161
1990,Republican,180
1991,Democratic,145
1991,Republican,174
1992,Democratic,113
1992,Republican,160
1993,Democratic,193
1993,Republican,101
1994,Democratic,263
1994,Republican,121
1995,Democratic,205
1995,Republican,141
1996,Democratic,126
1996,Republican,101
1997,Democratic,175
1997,Republican,133
1998,Democratic,181
1998,Republican,148
1999,Democratic,170
1999,Republican,134
2000,Democratic,188
2000,Republican,156
2001,Democratic,182
2001,Republican,184
2002,Democratic,154
2002,Republican,179
2003,Democratic,185
2003,Republican,211
2004,Democratic,113
2004,Republican,141
2005,Democratic,125
2005,Republican,209
2006,Democratic,118
2006,Republican,178
2007,Democratic,140
2007,Republican,212
2008,Democratic,114
2008,Republican,159
2009,Democratic,150
2009,Republican,188
2010,Democratic,173
2010,Republican,142
2011,Democratic,194
2011,Republican,167
2012,Democratic,182
2012,Republican,91
2013,Democratic,221
2013,Republican,155
2014,Democratic,218
2014,Republican,57
2015,Democratic,204
2015,Republican,166
2016,Democratic,101
2016,Republican,45
2017,Democratic,211
2017,Republican,179
2018,Democratic,216
2018,Republican,107
2019,Democratic,245
2019,Republican,238
2020,Democratic,61
2020,Republican,46
2021,Democratic,98
2021,Republican,140
2022,Democratic,22
2022,Republican,4
2024,Republican,3
