court_category,year,n
Federal District/Bankruptcy/Special,1950,4339
State Supreme/Appellate,1950,17748
State Trial/Other,1950,2216
U.S. Supreme Court/Federal Appeals,1950,3751
Federal District/Bankruptcy/Special,1951,4356
State Supreme/Appellate,1951,17654
State Trial/Other,1951,2317
U.S. Supreme Court/Federal Appeals,1951,3508
Federal District/Bankruptcy/Special,1952,4004
State Supreme/Appellate,1952,17995
State Trial/Other,1952,2010
U.S. Supreme Court/Federal Appeals,1952,3850
Federal District/Bankruptcy/Special,1953,4072
State Supreme/Appellate,1953,18991
State Trial/Other,1953,1957
U.S. Supreme Court/Federal Appeals,1953,3822
Federal District/Bankruptcy/Special,1954,4369
State Supreme/Appellate,1954,19248
State Trial/Other,1954,2218
U.S. Supreme Court/Federal Appeals,1954,4064
Federal District/Bankruptcy/Special,1955,4423
State Supreme/Appellate,1955,19740
State Trial/Other,1955,2321
U.S. Supreme Court/Federal Appeals,1955,4993
Federal District/Bankruptcy/Special,1956,4374
State Supreme/Appellate,1956,19298
State Trial/Other,1956,2266
U.S. Supreme Court/Federal Appeals,1956,5256
Federal District/Bankruptcy/Special,1957,4682
State Supreme/Appellate,1957,19264
State Trial/Other,1957,3380
U.S. Supreme Court/Federal Appeals,1957,5237
Federal District/Bankruptcy/Special,1958,4878
State Supreme/Appellate,1958,20273
State Trial/Other,1958,3322
U.S. Supreme Court/Federal Appeals,1958,5708
Federal District/Bankruptcy/Special,1959,4405
State Supreme/Appellate,1959,22445
State Trial/Other,1959,3253
U.S. Supreme Court/Federal Appeals,1959,5419
Federal District/Bankruptcy/Special,1960,4951
State Supreme/Appellate,1960,23841
State Trial/Other,1960,2894
U.S. Supreme Court/Federal Appeals,1960,5597
Federal District/Bankruptcy/Special,1961,5001
State Supreme/Appellate,1961,25029
State Trial/Other,1961,3271
U.S. Supreme Court/Federal Appeals,1961,5675
Federal District/Bankruptcy/Special,1962,4917
State Supreme/Appellate,1962,25888
State Trial/Other,1962,3649
U.S. Supreme Court/Federal Appeals,1962,6255
Federal District/Bankruptcy/Special,1963,4858
State Supreme/Appellate,1963,22455
State Trial/Other,1963,3173
U.S. Supreme Court/Federal Appeals,1963,6731
Federal District/Bankruptcy/Special,1964,4794
State Supreme/Appellate,1964,22824
State Trial/Other,1964,2622
U.S. Supreme Court/Federal Appeals,1964,6567
Federal District/Bankruptcy/Special,1965,4760
State Supreme/Appellate,1965,24203
State Trial/Other,1965,2810
U.S. Supreme Court/Federal Appeals,1965,6617
Federal District/Bankruptcy/Special,1966,4613
State Supreme/Appellate,1966,25650
State Trial/Other,1966,2576
U.S. Supreme Court/Federal Appeals,1966,7524
Federal District/Bankruptcy/Special,1967,5107
State Supreme/Appellate,1967,26764
State Trial/Other,1967,2477
U.S. Supreme Court/Federal Appeals,1967,7674
Federal District/Bankruptcy/Special,1968,5383
State Supreme/Appellate,1968,27923
State Trial/Other,1968,2517
U.S. Supreme Court/Federal Appeals,1968,8007
Federal District/Bankruptcy/Special,1969,5066
State Supreme/Appellate,1969,28903
State Trial/Other,1969,2722
U.S. Supreme Court/Federal Appeals,1969,9035
Federal District/Bankruptcy/Special,1970,5035
State Supreme/Appellate,1970,31415
State Trial/Other,1970,2797
U.S. Supreme Court/Federal Appeals,1970,10546
Federal District/Bankruptcy/Special,1971,5395
State Supreme/Appellate,1971,33457
State Trial/Other,1971,3261
U.S. Supreme Court/Federal Appeals,1971,11629
Federal District/Bankruptcy/Special,1972,5354
State Supreme/Appellate,1972,35297
State Trial/Other,1972,3632
U.S. Supreme Court/Federal Appeals,1972,11939
Federal District/Bankruptcy/Special,1973,5372
State Supreme/Appellate,1973,37517
State Trial/Other,1973,3460
U.S. Supreme Court/Federal Appeals,1973,13179
Federal District/Bankruptcy/Special,1974,5354
State Supreme/Appellate,1974,39054
State Trial/Other,1974,4147
U.S. Supreme Court/Federal Appeals,1974,13309
Federal District/Bankruptcy/Special,1975,6261
State Supreme/Appellate,1975,42753
