table_name,variable_name,total_rows,missing_count,missing_pct,completeness_pct
people_db_education,degree_detail,12777,8280,64.80,35.20
people_db_education,degree_level,12777,263,2.06,97.94
people_db_education,degree_year,12777,4862,38.05,61.95
people_db_education,school_id,12777,0,0.00,100.00
people_db_person,date_dob,16191,8829,54.53,45.47
people_db_person,gender,16191,4971,30.70,69.30
people_db_person,has_photo,16191,0,0.00,100.00
people_db_person,name_first,16191,0,0.00,100.00
people_db_person,name_last,16191,0,0.00,100.00
people_db_person,religion,16191,15767,97.38,2.62
people_db_politicalaffiliation,date_end,8486,8422,99.25,0.75
people_db_politicalaffiliation,date_start,8486,4369,51.48,48.52
people_db_politicalaffiliation,political_party,8486,0,0.00,100.00
people_db_position,court_id,51291,29108,56.75,43.25
people_db_position,date_start,51291,869,1.69,98.31
people_db_position,date_termination,51291,8832,17.22,82.78
people_db_position,how_selected,51291,40026,78.04,21.96
people_db_position,job_title,51291,30066,58.62,41.38
people_db_position,organization_name,51291,38043,74.17,25.83
people_db_position,position_type,51291,21225,41.38,58.62
people_db_school,ein,6011,2484,41.32,58.68
people_db_school,name,6011,0,0.00,100.00
search_citation,cluster_id,18116826,0,0.00,100.00
search_citation,page,18116826,0,0.00,100.00
search_citation,reporter,18116826,0,0.00,100.00
search_citation,type,18116826,0,0.00,100.00
search_court,full_name,3360,0,0.00,100.00
search_court,jurisdiction,3360,1,0.03,99.97
search_court,parent_court_id,3360,542,16.13,83.87
search_court,short_name,3360,0,0.00,100.00
search_docket,case_name,71243855,1124575,1.58,98.42
search_docket,case_name_short,71243855,21566001,30.27,69.73
search_docket,court_id,71243855,0,0.00,100.00
search_docket,date_filed,71243855,9096007,12.77,87.23
search_docket,jurisdiction_type,71243855,61129280,85.80,14.20
search_docket,nature_of_suit,71243855,60738901,85.25,14.75
search_opinion,any_text_available,10745929,346,0.00,100.00
search_opinion,author_id,10745929,9507539,88.48,11.52
search_opinion,author_str,10745929,6101844,56.78,43.22
search_opinion,cluster_id,10745929,0,0.00,100.00
search_opinion,page_count,10745929,8217574,76.47,23.53
search_opinion,per_curiam,10745929,0,0.00,100.00
search_opinion,type,10745929,0,0.00,100.00
search_opinioncluster,case_name,10021372,75551,0.75,99.25
search_opinioncluster,citation_count,10021372,0,0.00,100.00
search_opinioncluster,date_filed,10021372,0,0.00,100.00
search_opinioncluster,disposition,10021372,9595892,95.75,4.25
search_opinioncluster,precedential_status,10021372,1,0.00,100.00
