table_name,n_variables_checked,avg_completeness_pct,median_completeness_pct,min_completeness_pct,max_completeness_pct,n_below_50_pct,n_full_100_pct
search_citation,4,100.00,100.00,100.00,100.00,0,4
search_court,4,95.96,99.99,83.87,100.00,0,2
search_opinioncluster,5,80.70,100.00,4.25,100.00,1,3
people_db_school,2,79.34,79.34,58.68,100.00,0,1
people_db_education,4,73.77,79.95,35.20,100.00,1,1
people_db_person,6,69.57,84.65,2.62,100.00,2,3
search_opinion,7,68.32,100.00,11.52,100.00,3,4
search_docket,6,64.06,78.48,14.20,100.00,2,1
people_db_position,7,53.16,43.25,21.96,98.31,4,0
people_db_politicalaffiliation,3,49.76,48.52,0.75,100.00,2,1
