filing_year,n
1871,1
1893,1
1894,1
1900,22
1901,45
1902,6
1903,1
1904,1
1908,4
1909,2
1910,2
1911,9
1912,3
1915,1
1918,2
1919,7
1922,2
1923,7
1925,7
1927,3
1928,1
1929,127
1930,1
1931,618
1932,7
1933,3
1934,5
1935,2
1936,4
1937,1
1938,3
1939,6
1940,13
1941,9
1942,1
1943,8
1944,433
1945,1035
1946,1111
1947,1075
1948,879
1949,1332
1950,1326
1951,1510
1952,1342
1953,1757
1954,1797
1955,2483
1956,2401
1957,3090
1958,2354
1959,2353
1960,2630
1961,2841
1962,3022
1963,3343
1964,4065
1965,4167
1966,4594
1967,4823
1968,5377
1969,5497
1970,5656
1971,6008
1972,6421
1973,7733
1974,8920
1975,11640
1976,12571
1977,11951
1978,12610
1979,17290
1980,31945
1981,45765
1982,53100
1983,61800
1984,100095
1985,167733
1986,327787
1987,462461
1988,537731
1989,622708
1990,760823
1991,1050651
1992,1165487
1993,1087042
1994,1122625
1995,1273339
1996,1517491
1997,1791244
1998,1844629
1999,1762707
2000,1813423
2001,2079654
2002,2186707
2003,2253462
2004,2232303
2005,2536640
2006,1231266
2007,1417762
2008,1776327
2009,2180417
2010,2409248
2011,2168421
2012,1968061
2013,1880078
2014,1745836
2015,1631467
2016,1596283
2017,1572308
2018,1673063
2019,1689456
2020,1689378
2021,1197073
2022,1048249
2023,1291421
2024,1208563
2025,1370529
2026,344872
2027,1
2029,42
2030,1
2079,1
