degree_year,n
0,1
1751,2
1754,1
1755,1
1757,1
1760,1
1761,1
1772,1
1775,1
1776,1
1777,2
1778,3
1780,1
1781,2
1783,1
1786,1
1787,2
1795,3
1797,2
1798,2
1799,1
1802,1
1804,1
1806,3
1808,1
1809,1
1810,2
1812,2
1813,1
1814,2
1816,1
1821,2
1822,1
1823,1
1825,1
1826,1
1827,1
1828,4
1829,2
1830,2
1831,3
1832,3
1834,4
1835,2
1836,1
1837,6
1838,4
1840,4
1842,1
1843,3
1844,1
1845,4
1846,5
1847,2
1848,3
1849,1
1850,4
1852,2
1853,3
1854,3
1855,3
1856,5
1857,2
1858,2
1859,3
1860,2
1861,2
1862,1
1863,3
1864,1
1865,2
1866,3
1867,5
1868,6
1869,4
1870,5
1871,3
1872,4
1873,3
1874,1
1875,4
1876,3
1877,10
1878,5
1879,9
1880,4
1881,4
1882,5
1883,5
1884,3
1885,4
1886,3
1887,7
1888,4
1889,12
1890,4
1891,11
1892,11
1893,10
1894,8
1895,5
1896,12
1897,10
1898,5
1899,3
1900,9
1901,4
1902,6
1903,3
1904,9
1905,6
1906,12
1907,4
1908,9
1909,17
1910,10
1911,17
1912,13
1913,8
1914,11
1915,6
1916,6
1917,10
1918,2
1919,3
1920,10
1921,6
1922,14
1923,11
1924,15
1925,17
1926,18
1927,20
1928,25
1929,24
1930,18
1931,22
1932,24
1933,21
1934,19
1935,20
1936,9
1937,22
1938,21
1939,18
1940,22
1941,41
1942,19
1943,28
1944,5
1945,13
1946,11
1947,42
1948,47
1949,43
1950,43
1951,52
1952,44
1953,37
1954,37
1955,37
1956,41
1957,46
1958,43
1959,36
1960,40
1961,44
1962,64
1963,47
1964,49
1965,81
1966,53
1967,78
1968,72
1969,104
1970,100
1971,101
1972,163
1973,168
1974,172
1975,186
1976,198
1977,206
1978,204
1979,221
1980,203
1981,225
1982,223
1983,189
1984,216
1985,203
1986,218
1987,206
1988,190
1989,199
1990,183
1991,169
1992,190
1993,165
1994,163
1995,131
1996,138
1997,123
1998,114
1999,96
2000,65
2001,80
2002,56
2003,55
2004,40
2005,44
2006,40
2007,22
2008,17
2009,12
2010,7
2011,9
2012,3
2013,2
2014,5
2015,1
2016,2
2017,1
2018,2
2020,1
2021,4
2023,1
2975,1
2995,1
19833,1
19880,1
