name,education_count
Harvard University,833
Yale University,479
University of California-Los Angeles,287
Stanford University,272
University of California-Berkeley,253
The University of Texas at Austin,230
University of Florida,158
University of Southern California,154
Georgetown University,150
Loyola Marymount University,141
George Washington University,131
Texas Tech University,128
Tulane University of Louisiana,124
UC Law San Francisco,123
Fordham University,122
University of Virginia-Main Campus,116
Santa Clara University,116
Cornell University,116
Duke University,115
The University of Alabama,114
Baylor University,109
University of Houston,106
Vanderbilt University,105
University of San Diego,103
University of the Pacific,102
