filing_year,n
19,1
1658,1
1659,1
1662,1
1665,1
1666,2
1671,34
1672,47
1673,13
1674,9
1675,131
1676,105
1677,156
1678,171
1679,123
1680,53
1682,8
1683,2
1689,1
1692,1
1700,2
1701,1
1702,2
1704,2
1705,2
1709,1
1712,1
1713,2
1714,9
1715,2
1716,7
1717,7
1718,8
1719,5
1720,2
1721,9
1722,50
1723,18
1724,30
1725,5
1726,29
1727,29
1728,15
1729,25
1730,13
1731,40
1732,18
1733,41
1734,11
1735,26
1736,36
1737,16
1738,15
1739,19
1740,19
1741,14
1742,41
1743,33
1744,19
1745,22
1746,17
1747,40
1748,28
1749,34
1750,43
1751,27
1752,41
1753,3
1754,11
1755,6
1756,5
1757,12
1758,11
1759,15
1760,13
1761,6
1762,41
1763,53
1764,69
1765,38
1766,33
1767,20
1768,27
1769,18
1770,19
1771,46
1772,70
1773,74
1774,27
1775,12
1776,9
1777,4
1778,13
1779,12
1780,21
1781,25
1782,34
1783,32
1784,67
1785,116
1786,196
1787,159
1788,193
1789,175
1790,449
1791,525
1792,570
1793,1060
1794,520
1795,556
1796,561
1797,430
1798,404
1799,880
1800,737
1801,849
1802,948
1803,1074
1804,1193
1805,1057
1806,1514
1807,1433
1808,1626
1809,1435
1810,1341
1811,1652
1812,1352
1813,1234
1814,1344
1815,1385
1816,1374
1817,1623
1818,1718
1819,1556
1820,1626
1821,1615
1822,1852
1823,1999
1824,2912
1825,1799
1826,1980
1827,2704
1828,2392
1829,2454
1830,2858
1831,2705
1832,2526
1833,2691
1834,3029
1835,2679
1836,3463
1837,2695
1838,3122
1839,3290
1840,3759
1841,4303
1842,4419
1843,4381
1844,4620
1845,4595
1846,4825
1847,4847
1848,5056
1849,4952
1850,5334
1851,5252
1852,5321
1853,5868
1854,5875
1855,6644
1856,6330
1857,6535
1858,7249
1859,8278
1860,7523
1861,5631
1862,4803
1863,4593
1864,4465
1865,4401
1866,5824
1867,7078
1868,6946
1869,7306
1870,8560
1871,10691
1872,10861
1873,11335
1874,12625
1875,11355
1876,11697
1877,11627
1878,11753
1879,11186
1880,14485
1881,14477
1882,14215
1883,14350
1884,14772
1885,15880
1886,16851
1887,15978
1888,16589
1889,17990
1890,18284
1891,19035
1892,19563
1893,20061
1894,21151
1895,22186
1896,22976
1897,22078
1898,22939
1899,23147
1900,22745
1901,22685
1902,22588
1903,23903
1904,23654
1905,24666
1906,25150
1907,27250
1908,27669
1909,29490
1910,29729
1911,31557
1912,32827
1913,34305
1914,33813
1915,33941
1916,32154
1917,29430
1918,26181
1919,25635
1920,26062
1921,27169
1922,29884
1923,33102
1924,33424
1925,37924
1926,38192
1927,38023
1928,37813
1929,37737
1930,39618
1931,40911
1932,36951
1933,36979
1934,36336
1935,36577
1936,33674
1937,32823
1938,34262
1939,37266
1940,35777
1941,34495
1942,31093
1943,28240
1944,25176
1945,23537
1946,24021
1947,25732
1948,26483
1949,28031
1950,28054
1951,27835
1952,27859
1953,28842
1954,29899
1955,31477
1956,31194
1957,32563
1958,34181
1959,35522
1960,37283
1961,38976
1962,40709
1963,37217
1964,36807
1965,38390
1966,40363
1967,42022
1968,43830
1969,45726
1970,49793
1971,53742
1972,56222
1973,59528
1974,61864
1975,66029
1976,65032
1977,67084
1978,69486
1979,71351
1980,77979
1981,80595
1982,83817
1983,85582
1984,86744
1985,87708
1986,90558
1987,93697
1988,93789
1989,94956
1990,100045
1991,105511
1992,113301
1993,114953
1994,115584
1995,116447
1996,121116
1997,116516
1998,114539
1999,112864
2000,110473
2001,121497
2002,131873
2003,136458
2004,133904
2005,139491
2006,137002
2007,139548
2008,157813
2009,170040
2010,161556
2011,153594
2012,137531
2013,149334
2014,166501
2015,195856
2016,170048
2017,186236
2018,179962
2019,209118
2020,220189
2021,212477
2022,209259
2023,201636
2024,216971
2025,220077
2026,39139
2028,1
