outdegree,opinion_frequency
1,981418
2,718680
3,619939
4,537400
5,470043
6,417271
7,369058
8,328207
9,293268
10,260852
11,231532
12,207579
13,186148
14,167073
15,149691
16,134444
17,121733
18,109657
19,98741
20,89655
21,80894
22,73550
23,66646
24,60790
25,55300
26,50657
27,45359
28,41895
29,37898
30,34573
31,31437
32,29238
33,26757
34,24502
35,22522
36,20615
37,18964
38,17302
39,15977
40,14946
41,13693
42,12769
43,11615
44,10843
45,10064
46,9164
47,8721
48,7842
49,7408
50,6845
51,6384
52,6011
53,5524
54,5184
55,4723
56,4404
57,4202
58,3851
59,3630
60,3353
61,3221
62,3006
63,2779
64,2610
65,2493
66,2316
67,2145
68,1995
69,1887
70,1823
71,1736
72,1597
73,1572
74,1404
75,1339
76,1247
77,1196
78,1124
79,1059
80,995
81,876
82,909
83,872
84,863
85,752
86,737
87,738
88,656
89,620
90,589
91,607
92,513
93,515
94,485
95,425
96,467
97,438
98,451
99,354
100,341
