position_type,n
,21225
jud,17326
prac,3677
pres-jud,1975
trial-jud,1710
mag,969
legis,702
jus,597
prof,420
act-jus,379
ass-jus,332
clerk,303
ada,280
com,200
adj-prof,143
mayor,135
ad-law-jud,113
sup-jud,94
asst-pres-jud,88
ass-jud,80
pres-jus,75
da,58
ret-senior-jud,51
c-jus,47
pres,47
act-jud,40
spec-tr-jud,31
gov,28
pros,28
att-gen-ass,26
jud-pt,25
c-jud,23
ref-off,22
ad-pres-jus,14
c-mag,7
pub-def,5
c-spec-tr-jud,4
ret-act-jus,3
c-admin-jus,2
jus-pt,2
ret-jus,1
staff-atty,1
chan,1
com-dep,1
sen,1
