start_year,n
217,1
1742,1
1747,1
1750,1
1751,1
1754,1
1755,4
1756,3
1757,1
1760,5
1761,4
1762,3
1763,5
1764,3
1765,4
1766,4
1767,5
1768,5
1769,3
1770,2
1771,7
1772,8
1773,7
1774,15
1775,16
1776,36
1777,30
1778,13
1779,19
1780,22
1781,10
1782,23
1783,13
1784,27
1785,11
1786,14
1787,26
1788,26
1789,44
1790,28
1791,22
1792,9
1793,14
1794,18
1795,12
1796,17
1797,12
1798,19
1799,16
1800,16
1801,43
1802,35
1803,19
1804,15
1805,12
1806,18
1807,13
1808,15
1809,22
1810,11
1811,24
1812,28
1813,23
1814,18
1815,24
1816,30
1817,33
1818,28
1819,16
1820,20
1821,20
1822,15
1823,21
1824,21
1825,24
1826,17
1827,17
1828,14
1829,29
1830,26
1831,25
1832,21
1833,16
1834,27
1835,19
1836,33
1837,34
1838,18
1839,28
1840,19
1841,23
1842,17
1843,19
1844,19
1845,30
1846,43
1847,31
1848,25
1849,45
1850,43
1851,24
1852,30
1853,42
1854,28
1855,47
1856,40
1857,36
1858,36
1859,32
1860,26
1861,104
1862,56
1863,45
1864,61
1865,70
1866,63
1867,48
1868,61
1869,48
1870,67
1871,46
1872,31
1873,44
1874,38
1875,43
1876,30
1877,47
1878,52
1879,41
1880,56
1881,57
1882,57
1883,41
1884,52
1885,51
1886,54
1887,37
1888,48
1889,51
1890,65
1891,66
1892,66
1893,73
1894,53
1895,67
1896,53
1897,72
1898,75
1899,66
1900,62
1901,70
1902,61
1903,82
1904,68
1905,98
1906,81
1907,73
1908,64
1909,76
1910,93
1911,102
1912,95
1913,111
1914,111
1915,79
1916,84
1917,156
1918,127
1919,133
1920,87
1921,111
1922,110
1923,122
1924,119
1925,142
1926,110
1927,107
1928,132
1929,153
1930,125
1931,139
1932,120
1933,197
1934,168
1935,189
1936,141
1937,200
1938,145
1939,202
1940,199
1941,215
1942,410
1943,286
1944,182
1945,246
1946,336
1947,236
1948,251
1949,279
1950,277
1951,308
1952,258
1953,295
1954,305
1955,276
1956,285
1957,282
1958,268
1959,359
1960,293
1961,429
1962,318
1963,300
1964,306
1965,381
1966,457
1967,362
1968,437
1969,484
1970,470
1971,504
1972,511
1973,525
1974,502
1975,541
1976,568
1977,606
1978,590
1979,739
1980,723
1981,761
1982,696
1983,642
1984,606
1985,672
1986,605
1987,664
1988,608
1989,711
1990,705
1991,626
1992,521
1993,543
1994,645
1995,627
1996,437
1997,585
1998,986
1999,616
2000,846
2001,722
2002,670
2003,816
2004,542
2005,681
2006,683
2007,710
2008,619
2009,719
2010,691
2011,677
2012,610
2013,668
2014,528
2015,652
2016,332
2017,606
2018,542
2019,735
2020,239
2021,304
2022,37
2023,1
2024,3
