id,case_name,citation_count
118369,"United States v. Playboy Entertainment Group, Inc.",12
118219,United States v. Bestfoods,12
118285,Bank of America National Trust & Savings Ass'n v. 203 North LaSalle Street Partnership,12
118050,"United States v. Reorganized CF&I Fabricators of Utah, Inc.",12
118457,New York Times Co. v. Tasini,12
2620886,Steel Co. v. Citizens for a Better Environment,11
118169,"Oubre v. Entergy Operations, Inc.",11
112563,"International Union, United Automobile, Aerospace & Agricultural Implement v. Johnson Controls, Inc.",11
118427,Bartnicki v. Vopper,11
117920,Celotex Corp. v. Edwards,11
118313,Kolstad v. American Dental Assn.,11
118472,"Chao v. Mallard Bay Drilling, Inc.",11
118038,United States v. International Business MacHines Corp.,11
118092,Warner-Jenkinson Co. v. Hilton Davis Chemical Co.,11
118170,"Newsweek, Inc. v. Florida Department of Revenue",11
2675754,"Petrella v. Metro-Goldwyn-Mayer, Inc.",11
118329,"Friends of the Earth, Inc. v. Laidlaw Environmental Services (TOC), Inc.",11
117947,"Adarand Constructors, Inc. v. Pena",11
118140,City of Boerne v. Flores,11
117977,Citizens Bank of Md. v. Strumpf,11
