full_name,docket_count
"United States Bankruptcy Court, C.D. California",2010152
"United States Bankruptcy Court, N.D. Illinois",1614651
"District Court, S.D. Texas",1469667
"District Court, D. Arizona",1431400
"United States Bankruptcy Court, M.D. Florida",1410106
United States Judicial Panel on Multidistrict Litigation,1337130
"United States Bankruptcy Court, N.D. Georgia",1275327
"District Court, W.D. Texas",1274648
"United States Bankruptcy Court, D. New Jersey",1110697
"United States Bankruptcy Court, E.D. Michigan",1010845
"United States Bankruptcy Court, N.D. Ohio",947937
"District Court, C.D. California",874522
"United States Bankruptcy Court, S.D. Ohio",841209
"United States Bankruptcy Court, S.D. Florida.",827330
"United States Bankruptcy Court, D. Maryland",788839
"District Court, S.D. California",775349
Appellate Division of the Supreme Court of the State of New York,770816
"United States Bankruptcy Court, E.D. Virginia",767961
"United States Bankruptcy Court, S.D. Indiana",759933
"United States Bankruptcy Court, N.D. Alabama",723203
