person_id,full_name,authored_opinion_count,political_party_clean
6110,Charles R. Bricken ,5258,d
5749,Lloyd Witten Davidson ,4491,d
8149,John W. Wise ,3154,Missing
8104,William  Hoffman ,3154,Missing
5758,Frank Lee Hawkins ,3132,d
4027,Rivers H. Buford ,2737,Missing
7168,William Leroy McMurray jr,2479,Missing
5019,Norman  Krivosha ,2418,d
7141,Aw  Birdsong jr,2369,Missing
8066,Donna J. Carr ,2365,Missing
5034,Paul W. White ,2329,Missing
1844,Royce C. Lamberth ,2216,r
3672,William H. Thomas ,2166,d
8061,Thomas F. Bryant ,2136,Missing
7143,G Alan Blackburn ,2127,Missing
8124,Stephen W. Powell ,2119,Missing
8153,William W. Young ,2084,Missing
3622,Lucien D. Gardner ,2069,Missing
8086,Sheila J. Farmer ,2056,Missing
8085,Mike  Fain ,1997,Missing
7175,Marion T. Pope jr,1995,Missing
7150,Braswell D. Deen jr,1991,r
5016,William C. Hastings ,1971,Missing
1124,Paul L. Friedman ,1940,d
8388,Sue  Walker ,1913,Missing
