person_id,full_name,joined_opinion_count,political_party_clean
3821,William P. Lawlor ,50,Missing
3851,M. C. Sloss ,40,Missing
3847,Lucien  Shaw ,33,Missing
3824,William G. Lorigan ,24,Missing
4960,Albert H. Angstman ,23,r
3874,John  Campbell ,23,r
4830,Charles  Loring ,22,Missing
3783,Frank M. Angellotti ,16,Missing
7404,Clay Elliott Hoc ,16,Missing
3866,John T. Adams ,15,r
8149,John W. Wise ,14,Missing
4112,Samuel Barnet Kemp ,13,Missing
3829,Henry A. Melvin ,13,Missing
4957,Albert R. Adair ,12,Missing
4983,Howard A. Johnson ,11,Missing
4128,Emil C. Peters ,11,r
4838,Julius J. Olson ,11,Missing
5989,William J. Millard ,10,Missing
3814,Frederick W. Henshaw ,10,Missing
3622,Lucien D. Gardner ,10,Missing
3547,Charles Albert Woods ,9,d
4666,Carroll T. Bond ,9,d
4218,Paul  Farthing ,9,Missing
4965,Raymond V. Bottomly sr,8,d
5312,John Louis Taylor ,8,Missing
