person_id,full_name,panel_participation_count,political_party_clean
5564,William I. Schaffer ,6202,r
5525,James B. Drew ,6109,r
5543,George W. Maxey ,6030,r
5541,William B. Linn ,5689,r
5567,Horace  Stern ,5356,r
5526,Michael J. Eagen ,5146,d
5561,Samuel J. Roberts ,5139,r
5537,John W. Kephart ,4887,r
5553,Robert N.C. Nix jr,4857,Missing
1376,Pamela Ann Harris ,4321,d
4684,Hall  Hammond ,4167,Missing
5519,John C. Bell jr,4076,r
3689,Warren W. Matthews jr,3899,Missing
4686,William L. Henderson ,3853,Missing
5532,Robert S. Frazer ,3829,r
3692,Jay Andrew Rabinowitz ,3727,Missing
5530,John P. Flaherty ,3702,Missing
6106,Richard V. Thomas ,3695,Missing
4678,John C. Eldridge ,3680,d
5565,Alexander  Simpson jr,3637,r
6087,Michael  Golden ,3424,Missing
5550,Michael A. Musmanno ,3343,d
6931,Norman  Hendry ,3142,Missing
4677,J Dudley Digges ,3134,Missing
8086,Sheila J. Farmer ,3074,Missing
