id,depth,cited_opinion_id,citing_opinion_id
312649173,3,6499395,11297137
312650134,1,9467531,11297227
312648964,3,9948963,11297102
312648965,6,4698651,11297102
312648966,6,5133906,11297102
312649706,1,6352829,11297179
312649707,1,11067619,11297179
312650015,1,4713128,11297221
312650016,1,2626321,11297221
312650017,2,1174733,11297221
312650018,2,9789941,11297221
312650019,2,10564665,11297221
312650020,2,1125303,11297221
312650021,1,4741446,11297221
312650022,1,2602262,11297221
312650023,1,4751686,11297221
312650024,1,2600358,11297221
312650025,2,4759650,11297221
312650026,2,4758085,11297221
312650027,3,4758813,11297221
312650072,1,9882151,11297225
312649230,1,6463191,11297140
312649231,2,2083224,11297140
312649232,2,10738570,11297140
312649233,1,10738555,11297140
312649234,2,6452046,11297140
312649235,2,6463735,11297140
312649236,1,6415717,11297140
312649237,2,6454858,11297140
312649238,1,2831592,11297140
312649239,1,6453177,11297140
312648907,6,4420531,11297084
312648908,1,722373,11297084
312648909,8,4554012,11297084
312648910,1,9870408,11297084
312648911,5,728729,11297084
312650721,1,1059977,11297292
312650722,3,9434951,11297292
312650723,1,9835063,11297292
312650724,1,4244591,11297292
312650725,1,9423198,11297292
312650726,1,9433357,11297292
312650727,4,8726590,11297292
312650728,1,9433887,11297292
312650729,1,1058669,11297292
312650730,1,1058122,11297292
312650731,1,1067872,11297292
312650732,1,9807288,11297292
312649272,1,7324091,11297146
312649273,1,7323642,11297146
312649274,1,2732787,11297146
312649275,2,2381317,11297146
312649276,2,2300685,11297146
312649021,2,11147717,11297107
312649022,1,10569795,11297107
312649987,1,4711797,11297218
312649988,2,4149707,11297218
312649989,3,10763725,11297218
312649990,2,4441901,11297218
312649991,2,11264579,11297218
312649992,2,4761868,11297218
312649993,2,4715139,11297218
312649994,1,4712501,11297218
312649995,1,2513899,11297218
312649996,2,4715467,11297218
312649997,4,4713159,11297218
312649998,1,4714218,11297218
312649999,1,2598879,11297218
312650000,1,11265032,11297218
312649131,1,2487592,11297120
312649132,1,9442153,11297120
312649133,1,9430599,11297120
312649134,1,9809466,11297120
312649135,1,2801044,11297120
312649626,2,10578357,11297175
312649627,3,8204454,11297175
312649628,7,9800559,11297175
312649629,3,4669077,11297175
312649630,3,9695354,11297175
312649631,3,9849885,11297175
312649632,1,9478218,11297175
312649633,5,9686712,11297175
312649634,1,9481550,11297175
312649635,3,8203862,11297175
312649636,3,9658189,11297175
312649637,2,2219588,11297175
312649638,4,8203380,11297175
312649639,5,9655961,11297175
312649640,2,2162080,11297175
312649641,3,8185139,11297175
312649642,4,9675756,11297175
312649643,2,1279176,11297175
312649644,2,8201146,11297175
312649645,2,1237507,11297175
312649646,4,8203850,11297175
312649336,1,7324017,11297148
312649337,13,7325325,11297148
312649338,1,9703043,11297148
312649339,7,1947518,11297148
312649340,2,1931581,11297148
312649341,1,1478877,11297148
312649342,1,2817215,11297148
312650028,2,9754738,11297223
312650029,2,9789423,11297223
312650030,1,4361174,11297223
312650031,2,1282062,11297223
312650032,2,1227594,11297223
312650033,1,4759638,11297223
312650034,1,2330857,11297223
312650035,1,4752618,11297223
312650036,1,2517277,11297223
312650037,2,1185792,11297223
312650038,3,1290397,11297223
312650436,1,868381,11297249
312650437,6,9440899,11297249
312650438,3,9429529,11297249
312650089,3,5139248,11297228
312650090,1,9430624,11297228
312650091,1,9425745,11297228
312650092,1,9426610,11297228
312650093,1,9429592,11297228
312650094,1,4668917,11297228
312650095,1,9434636,11297228
312650096,1,9435287,11297228
312650097,1,8411852,11297228
312650098,4,9877615,11297228
312648974,1,10638380,11297103
312648975,1,4276531,11297103
312648976,6,6113544,11297103
312648977,1,4188260,11297103
312649117,2,712999,11297118
312649118,1,2433562,11297118
312649119,1,184598,11297118
312649120,1,9435053,11297118
312649121,1,7245627,11297118
312649122,1,2807857,11297118
312649123,1,106497,11297118
312649124,2,9843120,11297118
312649125,2,814479,11297118
312649126,1,186714,11297118
312650120,2,2762943,11297232
312650121,1,2167424,11297232
312649647,4,9823588,11297171
312649648,2,9429592,11297171
312649649,2,1240384,11297171
312649650,3,1867276,11297171
312649651,3,8204518,11297171
312649652,4,9886338,11297171
312649653,2,1250971,11297171
312649654,2,2063643,11297171
312649695,4,9375958,11297177
312649696,4,9886675,11297177
312649697,3,8250475,11297177
312648912,3,7844347,11297084
312648913,3,2731684,11297084
312648914,1,4030329,11297084
312648915,2,7252905,11297084
312648916,1,2659796,11297084
312648917,1,4650091,11297084
312648918,1,2470205,11297084
312648919,2,2182607,11297084
312648920,1,2420624,11297084
